173,,Dawakha,3,9,1
174,,Doteng,3,9,1
175,,Drukgyel CS (LSS),3,9,1
176,,Drukgyel CS (HSS),5,9,1
177,,Gaupel,3,9,1
178,,Gunitsawa,2,9,1
179,,Issuna ,2,9,1
180,,Khangkhu,4,9,1
181,,Lango MSS,4,9,1
182,,Olathang,2,9,1
183,,Ramchetsekha,2,9,1
184,,Rashigang,2,9,1
185,,Shaba HSS,5,9,1
186,,Shaba,2,9,1
187,,Shari ,5,9,1
188,,Taju,2,9,1
189,,Wanakha,4,9,1
190,,Wangsel Institute,4,9,1
191,,Woochu ,3,9,1
192,,Chimong,2,10,1
193,,Decheling,3,10,1
194,,Dungmin,2,10,1
195,,Gashari,2,10,1
196,,Gonpasingma,3,10,1
197,,Ngangmalang (Gonpasingma LSS),1,10,1
198,,Khangma,2,10,1
199,,Khar,2,10,1
200,,Khengzor,2,10,1
201,,khothakpa,2,10,1
202,,Nangkor CS,5,10,1
203,,Nganglam CS,5,10,1
204,,Chokhorling ,1,10,1
205,,Norbugang,2,10,1
206,,Pemagatshel,4,10,1
207,,Khenadang(PemagatshelMSS,1,10,1
208,,Shali ,2,10,1
209,,Thongsa,2,10,1
210,,Tsebar,3,10,1
211,,Tshatsi,2,10,1
212,,Woongchilo ,2,10,1
213,,Ngangshing,1,10,1
214,,Yelchen CS,4,10,1
215,,Yurung CS,4,10,1
216,,Moshi Primary School,2,10,1
217,,Mekuri ,2,10,1
218,,Kherigonpa(Gonpasingma),1,10,1
219,,Dashiding  AS,5,11,1
220,,Dechentsemo CS,4,11,1
221,,Dechentsemo CS(Mendrelgang),1,11,1
222,,Dechentsemo CS(Talhogang),1,11,1
223,,Goenshari,2,11,1
224,,Jibjokha,3,11,1
225,,Kabesa,4,11,1
226,,Tongzhuna ,1,11,1
227,,Wokuna,1,11,1
228,,Yebesa,1,11,1
229,,Khuruthang  ,4,11,1
230,,Lakhu,2,11,1
231,,Laptsakha ,2,11,1
232,,Lobesa ,3,11,1
233,,Logodama,2,11,1
234,,Phulingsum,1,11,1
235,,Mendhagang ,2,11,1
236,,Tsekha ECR,1,11,1
237,,Nawakha ,2,11,1
238,,Nobgang,2,11,1
239,,Punakha ,5,11,1
240,,Shengana ,3,11,1
241,,Tashidingkha CS,4,11,1
242,,Tshochasa,2,11,1
243,,Wolathang,2,11,1
244,,Phuentsholing AS,5,12,1
245,,Phuentsholing LSS,3,12,1
246,,Phuentsholing,4,12,1
247,,Sonamgang AS,4,12,1
248,,Barzor,2,13,1
249,,Dungmanma PS,2,13,1
250,,Garpawoong ,4,13,1
251,,Gomdar CS,4,13,1
252,,Jangsa,2,13,1
253,,Jomotsangkha AS,4,13,1
254,,Karmaling,5,13,1
255,,Khoyar,2,13,1
256,,Lauri PS,2,13,1
257,,Martshala CS (UC),4,13,1
258,,Martshala CS (LC),4,13,1
259,,Minjiwoong CS,4,13,1
260,,Monmola,2,13,1
261,,Orong CS,3,13,1
262,,Orong CS,5,13,1
263,,Philuma,1,13,1
264,,Pemathang ,3,13,1
265,,Phuntshothang ,4,13,1
266,,Dungkarling(Phuntshothang MSS),1,13,1
267,,Khameythang(Phuntshothang MSS),1,13,1
268,,Rikhey,2,13,1
269,,Martang,1,13,1
270,,Rishor,1,13,1
271,,Sarjung,2,13,1
272,,Wangphu PS,2,13,1
273,,Wooling,2,13,1
274,,Yarphu PS,2,13,1
275,,Zamtari,2,13,1
276,,Zangthi ,2,13,1
277,,Dewathang,2,14,1
278,,Samdrup Jongkhar (AS),4,14,1
279,,Samdrupjongkhar ,2,14,1
280,,Bukkey ,2,15,1
281,,Samtse HSS,5,15,1
282,,Depheling,2,15,1
283,,Gayshing Goan,2,15,1
284,,Gomtu,4,15,1
285,,Kyidsa,2,15,1
286,,Norbugang,4,15,1
287,,Dipujora,1,15,1
288,,Nangladang,1,15,1
289,,Panbari ,2,15,1
290,,Samtse  LSS,3,15,1
291,,Malbasey (Samtse LSS),1,15,1
292,,Sangla (Samtse LSS),1,15,1
293,,Sang-Ngag Chhoeling,3,15,1
294,,Sombek ,1,15,1
295,,Taba Dramtoe,3,15,1
296,,Bucca ,1,15,1
297,,Tading ,1,15,1
298,,Titiring,1,15,1
299,,Ugyentse,2,15,1
300,,Boteykharka,1,15,1
301,,Yoeseltse AS,4,15,1
302,,Lametar (Yoseltse MSS),4,15,1
303,,GawalingPS,2,15,1
304,,Jaringay ,2,15,1
305,,Mindruling ,2,15,1
306,,Sengdhyen,3,15,1
307,,Chongzhu,2,15,1
308,,Gangthok,2,15,1
309,,Sherubgatshel,3,15,1
310,,Thrika ( SherubgatshelLSS),1,15,1
311,,Tashithang,2,15,1
312,,Nigurey ,1,15,1
313,,Phensum,2,15,1
314,,Birutar (Phensum),1,15,1
315,,Peljorling HSS,5,15,1
316,,Dzongsar,2,15,1
317,,Namgaycholing,2,15,1
318,,Denchukha ,3,15,1
319,,Dorokha CS,4,15,1
320,,Tashicholing,2,15,1
321,,Tendruk C S,5,15,1
322,,Kachin,1,15,1
323,,Soeltapsa,2,15,1
324,,Khandothang,2,15,1
325,,Mandraney(Khandothang),1,15,1
326,,Phuntshopelri,2,15,1
327,,Choekhorling,3,16,1
328,,Chuzagang Autonomous,2,16,1
329,,Dechen Pelri,2,16,1
330,,Dekiling ,3,16,1
331,,Gakidling,2,16,1
332,,Jangchubling,3,16,1
333,,Jigmechoeling,3,16,1
334,,Samkhar(Jigmechoeling LSS),1,16,1
335,,Jigmeling,2,16,1
336,,Lharing,2,16,1
337,,Lhayul,2,16,1
338,,Norbuling Central School,4,16,1
339,,Pelrithang,4,16,1
340,,Retey,2,16,1
341,,Samtenling,2,16,1
342,,Sarpang Central,5,16,1
343,,Sarpang,3,16,1
344,,Kencholing ECR (Sarpang),1,16,1
345,,Serzhong,2,16,1
346,,Singye,2,16,1
347,,Taraythang,2,16,1
348,,Umling,3,16,1
349,,Barshong,2,17,1
350,,Bartsham CS,4,17,1
351,,Benshingmo,2,17,1
352,,Berdungma,2,17,1
353,,Bidung,3,17,1
354,,Bikhar,3,17,1
355,,Brekha,2,17,1
356,,Chaling ,2,17,1
357,,Changmey ,2,17,1
358,,Yobinang(ChangmayPS),1,17,1
359,,Chiya,2,17,1
360,,Daliphangma ,2,17,1
361,,Dungmanba,2,17,1
362,,Dungtse CS,4,17,1
363,,Galing,2,17,1
364,,Gongthung As,4,17,1
365,,Jampeling CS,5,17,1
366,,Jerelemi PS,2,17,1
367,,Jigme Sherubling CS,5,17,1
368,,Joenkhar,2,17,1
369,,Thrakthric(Joenkhar),1,17,1
370,,Jomtshang,2,17,1
371,,Kanglung,2,17,1
372,,Kangpar,3,17,1
373,,Kurchilo,2,17,1
374,,Lumang,2,17,1
375,,Merak,2,17,1
376,,Moshi Primary School,2,17,1
377,,Muenselling,2,17,1
378,,Pakaling,2,17,1
379,,Pam,2,17,1
380,,Pasaphu,2,17,1
381,,Phegpari,2,17,1
382,,Radhi AS,4,17,1
383,,Rangjung Central School,3,17,1
384,,Ritsangdung ,2,17,1
385,,Rongthung,2,17,1
386,,Sakteng ,3,17,1
387,,Saling ,2,17,1
388,,Tashitse AS,5,17,1
389,,Thongrong,2,17,1
390,,Thrimshing CS,4,17,1
391,,Thungkhar,3,17,1
392,,Tokshingmang,2,17,1
393,,Trashigang,4,17,1
394,,Rangshikhar(Trashigang MSS),1,17,1
395,,Tsangpo,2,17,1
396,,Tshogoenpa PS,2,17,1
397,,Udzorong CS,4,17,1
398,,Wamrong,3,17,1
399,,Yabrang,2,17,1
400,,Yangneer,2,17,1
401,,Yingom,2,17,1
402,,Yonphula,3,17,1
403,,Zordung,2,17,1
404,,Baylling CS,5,18,1
405,,Bumdeling,3,18,1
406,,Doksum ,2,18,1
407,,Dukti,2,18,1
408,,Gangkhar,2,18,1
409,,Jamkhar,2,18,1
410,,Jangphutse ,2,18,1
411,,Khamdang,3,18,1
412,,Kheni ,3,18,1
413,,Kunzangling CS,4,18,1
414,,Langmadung ,2,18,1
415,,Lichen ,2,18,1
416,,Melongkhar ,2,18,1
417,,Pangtokha,2,18,1
418,,Rabtey,2,18,1
419,,Ramjar,4,18,1
420,,Shali,2,18,1
421,,Shingkhar,2,18,1
422,,Tarphel,2,18,1
423,,Thragom,3,18,1
424,,Tokaphu,2,18,1
425,,Trashiyangtse,3,18,1
426,,Tshaling,2,18,1
427,,Tsangphuchen,2,18,1
428,,Tsenkharla CS,4,18,1
429,,Womanang ,2,18,1
430,,Yallang ,2,18,1
431,,Chakidemi,2,18,1
432,,Bjemina ,2,19,1
433,,Hongtsho,2,19,1
434,,Khasadrapchu AS,4,19,1
435,,Kuzhugchen ,4,19,1
436,,Lingzhi,2,19,1
437,,Barshong( Lingzhi),1,19,1
438,,Soe( Lingzhi),1,19,1
439,,Sisina ,2,19,1
440,,Tshaluna ,2,19,1
441,,Wangbama CS,5,19,1
442,,(WCS) Genekha LSS,3,19,1
443,,Yangchen Gatshel,4,19,1
444,,Babesa ,2,20,1
445,,Babesa,4,20,1
446,,Changangkha,4,20,1
447,,Chang Rigphel LSS,3,20,1
448,,Changzamtog,4,20,1
449,,Dechencholing,5,20,1
450,,Jigme Losel AS,2,20,1
451,,Jigme Namgyel,3,20,1
452,,Junghsina,2,20,1
453,,Kuenselphodrang,2,20,1
454,,Loselling,4,20,1
455,,Lungtenphu,3,20,1
456,,Lungtenzampa AS,4,20,1
457,,Motithang AS,5,20,1
458,,Rinchen Kuenphen,2,20,1
459,,Taba ,3,20,1
460,,Yangchenphug,5,20,1
461,,Zilnon Namgyelling,3,20,1
462,,Zilukha ,4,20,1
463,,Baling,2,21,1
464,,Bemji ,2,21,1
465,,Simphu,1,21,1
466,,Bjeezam,2,21,1
467,,Chendebji ,2,21,1
468,,Jangbi ,2,21,1
469,,Karshong,2,21,1
470,,Kuengarabten,2,21,1
471,,Langthel,3,21,1
472,,Nabji Ps,2,21,1
473,,Nimshong,2,21,1
474,,Samcholing ,4,21,1
475,,Samcholing ,2,21,1
476,,Sherubling CS,5,21,1
477,,Sherubling CS II,5,21,1
478,,Taktse CS(Tashidinkha),3,21,1
479,,Taktse CS,5,21,1
480,,Tongtophey,2,21,1
481,,Tshangkha CS,4,21,1
482,,Kella ECR,1,21,1
483,,Yudrungcholing,2,21,1
484,,Barshong ,2,22,1
485,,Beteni,2,22,1
486,,Damphu CS,5,22,1
487,,Damphu LSS,3,22,1
488,,Norbugang,1,22,1
489,,Gopini,2,22,1
490,,Gosaling,2,22,1
491,,Mendrelgang CS,4,22,1
492,,Pemathang,2,22,1
493,,Phuentenchu ,2,22,1
494,,Rangthangling,2,22,1
495,,Nimazor,1,22,1
496,,Salami,2,22,1
497,,Sergithang,2,22,1
498,,Shemjong ,2,22,1
499,,Tsholingkhar,2,22,1
500,,Tsirangtoe CS,4,22,1
501,,Tsirangtoe LSS,3,22,1
502,,Bajothang,5,23,1
503,,Gaselo CS,5,23,1
504,,Samtengang CS,4,23,1
505,,Phobjikha,4,23,1
506,,Gogona ,1,23,1
507,,Nobding,3,23,1
508,,Rida ECR(Nobding LSS),1,23,1
509,,Wangdue ,2,23,1
510,,Matalungchu,1,23,1
511,,Bjimthangkha ,2,23,1
512,,Tencholing ,2,23,1
513,,Rukubji ,2,23,1
514,,Nahi ,2,23,1
515,,Bjena,2,23,1
516,,Uma,2,23,1
517,,Jalla,2,23,1
518,,Rameychen ,2,23,1
519,,Gangphel,1,23,1
520,,Phuensum Deki ,2,23,1
521,,Sephu,2,23,1
522,,Rubesa,2,23,1
523,,Khotokha,2,23,1
524,,Dangchu ,2,23,1
525,,Kazhi,2,23,1
526,,Damchethang,1,23,1
527,,Dongkhobji,1,23,1
528,,Hebesa,2,23,1
529,,Sha taksha,2,23,1
530,,Rinchengang,2,23,1
531,,Singye Namgay,2,23,1
532,,Bayta ,2,23,1
533,,Phetakha,2,23,1
534,,Athang,1,23,1
535,,Bardo ,2,24,1
536,,Barpong,2,24,1
537,,Bjoka,2,24,1
538,,Budhashi,2,24,1
539,,Buli CS,4,24,1
540,,Degala,2,24,1
541,,Dunmang,2,24,1
542,,Goling,2,24,1
543,,Gomphu,3,24,1
544,,Goshing PS,2,24,1
545,,Kagtong,2,24,1
546,,Khomshar,2,24,1
547,,Kikhar ,2,24,1
548,,Langdurbi,2,24,1
549,,Pantang,2,24,1
550,,Repati,2,24,1
551,,Shingkhar,2,24,1
552,,Nimshong,2,24,1
553,,Sonamthang CS,4,24,1
554,,Tali,2,24,1
555,,Tashibi,2,24,1
556,,Thrisa,2,24,1
557,,Tingtibi,3,24,1
558,,Tradijong,2,24,1
559,,Tshaidang,2,24,1
560,,Tshanglajong,2,24,1
561,,Yebilaptsa CS,4,24,1
562,,Zhemgang CS A,3,24,1
563,,Zhemgang CS,5,24,1
