1,Civil Servants
2,Other
3,Contract national
4,Contract ex-pats
5,General Service Personnel
6,Elementary Service personnel
7,Volunteer
8,Civil servants on secondment with Education
9,NFE-instructor
10,Temporary
11,Private School Teacher
12,CBT
13,Regular Contract
14,Earmarked Contract
15,ECCD Facilitator
