1,B.Ed(P)
2,B.Ed(S)
3,PTC
4,ZTC
5,B.Ed(Dzo)
6,PGCE
7,PGDE
8,M.Ed
9,Bachelor
10,Master
11,Ph.D
12,PGD in English
13,Certificate
14,Diploma
15,PGD in G & C
