1,1,13,54
1,2,5,54
2,1,15,6
2,2,7,48
3,1,19,6
3,2,10,18
4,1,19,6
4,2,10,18
5,1,22,42
5,2,6,0
6,1,22,42
6,2,6,0
7,1,23,18
7,2,5,18
8,2,4,42
8,4,4,42
8,7,4,42
8,9,0,42
8,12,2,42
8,13,2,42
8,19,6,42
8,23,0,42
8,24,0,42
8,25,0,42
8,26,0,42
9,2,4,42
9,4,4,42
9,7,4,42
9,9,0,42
9,12,2,42
9,13,2,42
9,19,6,42
9,23,0,42
9,24,0,42
9,25,0,42
9,26,0,42
10,2,4,40
10,3,4,40
10,4,4,0
10,7,4,0
10,9,0,40
10,11,2,0
10,12,2,0
10,13,2,0
10,14,2,40
10,15,2,40
10,16,2,40
10,17,2,0
10,18,2,0
10,20,2,0
10,21,2,0
10,24,0,40
10,25,0,40
10,26,0,40
10,27,2,0
11,2,4,40
11,3,4,40
11,4,4,0
11,7,4,0
11,9,0,40
11,11,2,0
11,12,2,0
11,13,2,0
11,14,2,40
11,15,2,40
11,16,2,40
11,17,2,0
11,18,2,0
11,20,2,0
11,21,2,0
11,24,0,40
11,25,0,40
11,26,0,40
11,27,2,0
12,2,4,10
12,4,5,0
12,8,4,10
12,10,4,10
12,20,4,10
12,21,4,10
12,22,4,10
12,24,0,50
12,25,0,50
12,26,0,50
12,27,4,10
15,2,4,10
15,4,5,0
15,8,4,10
15,10,4,10
15,20,4,10
15,21,4,10
15,22,4,10
15,24,0,50
15,25,0,50
15,26,0,50
15,27,4,10
13,2,4,10
13,3,4,10
13,4,5,0
13,5,4,10
13,6,4,10
13,8,4,10
13,10,4,10
13,12,4,10
13,13,4,10
13,20,4,10
13,24,0,50
13,25,0,50
13,26,0,50
13,27,4,10
16,2,4,10
16,3,4,10
16,4,5,0
16,5,4,10
16,6,4,10
16,8,4,10
16,10,4,10
16,12,4,10
16,13,4,10
16,20,4,10
16,24,0,50
16,25,0,50
16,26,0,50
16,27,4,10
14,2,4,10
14,4,5,0
14,7,4,10
14,10,4,10
14,14,5,0
14,15,5,0
14,16,5,0
14,17,4,10
14,18,4,10
14,24,0,50
14,25,0,50
14,26,0,50
14,27,4,10
17,2,4,10
17,4,5,0
17,7,4,10
17,10,4,10
17,14,5,0
17,15,5,0
17,16,5,0
17,17,4,10
17,18,4,10
17,24,0,50
17,25,0,50
17,26,0,50
17,27,4,10
